id,description,traits,Commander,Entrepreneur,Mediator,Defender,Entropist,Logistician,outcomes,outcomeID,turnsToEvaluation,reward,prerequisites
1,Teachers on strike. Demanding pay raise.,Commander,0,0,0,0,0,0,-,,4,5,
,,Entrepreneur,1,-1,0,0,1,0,Raise promised in next budget.,2,,,
,,Mediator,0,0,0,1,1,0,Raise given. Teachers satisfied.,3,,,
,,Defender,-1,1,-1,0,0,0,Raise given. Teachers satisfied.,3,,,
,,Entropist,-1,-1,0,1,0,1,Raise denied. 25% of teachers quit the public school system.,1,,,
,,Logistician,0,0,0,0,0,0,-,,,,
2,A group of war refugees is asking for shelter,Commander,0,1,-1,0,0,0,Refugees refused entry.,4,4,5,
,,Entrepreneur,1,-1,0,0,0,0,Accepted some refugees.,5,,,
,,Mediator,1,0,-1,0,0,0,Accepted some refugees.,5,,,
,,Defender,-1,-1,-1,0,0,0,Refugees given entry.,6,,,
,,Entropist,1,0,-1,0,0,0,Refugees given entry.,6,,,
,,Logistician,0,0,-1,0,0,0,Refugees refused entry.,4,,,
3,Farmers are complaining about global warming killing their crops.,Commander,1,0,0,0,0,0,Lowered income tax for crops.,7,3,3,
,,Entrepreneur,1,0,0,0,0,0,Lowered income tax for crops.,7,,,
,,Mediator,-1,1,0,0,0,0,Invested in green energy.,8,,,
,,Defender,-1,1,0,0,0,0,Payed compensation to the farmers.,9,,,
,,Entropist,1,1,0,0,0,0,Invested in green energy.,8,,,
,,Logistician,-1,0,0,0,0,0,Payed compensation to the farmers.,9,,,
4,There's a rise in crypto scams,Commander,1,0,1,0,0,0,Temporarily banned internet.,10,2,6,
,,Entrepreneur,1,0,1,0,0,0,Hired scammers to work for the government.,11,,,
,,Mediator,-1,0,-1,0,0,0,Paid ransom to stop scammers.,12,,,
,,Defender,-1,-1,1,0,0,0,Increased crypto regulations.,13,,,
,,Entropist,0,-1,0,0,0,0,Shift police focus to address scams,14,,,
,,Logistician,0,0,1,0,0,0,Shift police focus to address scams,14,,,
